player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Michael Sellers,432,FB,WAS,16,1.3,2,94.7,,0,0,0,0.0,0,6,32,1,82.7,36.9,78.0,86.0,55.8,9.4,20,0,15,35.8,76,212,2,18,60.4,128,8.5,18,107.2,19,1,2.8,6,105,88,4.9,5.8,0.82
Vernand Morency,2290,HB,GB,13,-0.9,6,94.4,,0,0,0,5.6,1,4,12,0,67.7,65.9,53.1,51.5,67.3,0.0,0,1,29,31.1,41,132,0,17,65.2,86,2.3,3,70.8,18,0,4.5,6,118,134,7.9,6.9,1.37
James Thrash,323,WR,WAS,16,12.7,0,66.7,,0,0,1,0.0,0,9,32,0,80.0,72.3,66.4,72.9,64.5,10.9,15,0,27,5.8,8,138,3,12,87.7,121,21.0,29,111.1,18,1,67.4,93,151,22,1.8,12.6,1.25
John Madsen,3408,TE,OAK,11,10.6,0,61.1,,0,0,0,8.3,1,4,23,0,61.8,71.9,51.1,54.1,53.1,55.0,71,2,57,5.4,7,129,1,11,91.5,118,16.3,21,65.7,18,1,27.1,35,146,36,3.3,13.3,1.24
Tim Dwight,390,WR,NYJ,9,3.8,1,88.9,,0,0,0,5.9,1,7,22,0,67.0,74.2,62.7,,61.2,0.0,0,0,15,0.0,0,129,1,16,92.2,119,57.4,74,92.6,18,0,40.3,52,112,57,3.6,7.0,0.94
LenDale White,2990,HB,TEN,13,-2.2,2,77.8,,0,0,0,12.5,2,1,31,0,52.8,85.1,48.3,91.3,53.3,0.0,0,0,13,25.6,34,133,1,14,71.4,95,0.8,1,80.6,18,0,1.5,2,60,94,6.7,4.3,0.63
Jeb Putzier,1174,TE,HST,14,5.1,2,72.2,,0,0,0,13.3,2,6,13,0,48.0,72.3,52.4,37.9,57.2,75.2,124,0,26,9.7,16,165,3,13,85.5,141,7.9,13,91.2,18,0,15.8,26,125,70,5.4,9.6,0.89
Mike Williams,2227,WR,DET,8,14.6,1,44.4,,0,0,1,27.3,3,5,11,0,28.1,71.1,51.3,,52.1,0.0,0,1,21,0.0,0,160,1,8,94.4,151,67.5,108,57.4,18,1,32.5,52,99,27,3.4,12.4,0.66
William Henderson,134,FB,GB,12,2.1,1,66.7,,0,0,0,14.3,2,3,12,0,47.7,72.3,56.7,83.9,49.0,1.7,2,1,13,28.8,34,118,0,12,67.8,80,0.0,0,48.8,18,0,2.5,3,62,58,4.8,5.2,0.78
Justin Peelle,1104,TE,MIA,15,3.8,1,88.9,,0,0,0,0.0,0,4,17,0,82.4,73.5,76.2,69.0,70.9,67.9,89,0,25,38.2,50,131,3,16,60.3,79,9.2,12,112.0,18,1,6.1,8,116,73,4.6,7.3,1.47
Maurice Morris,1061,HB,SEA,16,1.1,3,64.7,,0,0,0,15.4,2,1,29,0,43.8,76.0,35.9,37.4,41.9,0.0,0,0,27,20.7,47,227,0,11,77.1,175,2.2,5,68.5,17,0,12.3,28,46,48,4.4,4.2,0.26
Tony Stewart,887,TE,CIN,16,5.4,4,82.4,,0,0,0,0.0,0,5,7,0,81.1,73.0,71.6,48.2,71.3,44.5,65,0,26,13.7,20,146,0,14,82.2,120,15.8,23,115.7,17,1,6.8,10,120,56,4.0,8.6,1.0
Brandon Manumaleuna,876,TE,SD,16,2.9,1,82.4,,0,0,0,0.0,0,6,27,0,82.2,73.6,74.8,84.4,55.7,44.1,126,0,19,44.8,128,286,1,14,54.2,155,11.5,33,128.6,17,3,7.7,22,91,69,4.9,6.5,0.59
Tony Fisher,1241,HB,SL,8,-0.2,2,82.4,,0,0,0,6.7,1,5,26,0,65.9,75.5,62.3,86.4,82.5,0.0,0,0,49,23.5,12,51,0,14,74.5,38,0.0,0,105.6,17,0,2.0,1,159,160,11.4,11.4,4.18
Bethel Johnson,1361,WR,MIN,11,20.5,2,52.9,,0,0,0,0.0,0,6,18,0,78.0,73.4,62.1,,62.6,0.0,0,1,40,0.0,0,140,0,9,95.7,134,15.0,21,59.9,17,0,85.0,119,156,54,6.0,17.3,1.16
Itula Mili,284,TE,SEA,9,7.3,0,62.5,,0,0,0,0.0,0,4,29,0,78.0,71.1,57.4,75.8,53.7,85.0,108,1,15,10.2,13,127,2,10,86.6,110,10.2,13,46.1,16,0,4.7,6,69,35,3.5,6.9,0.63
Zack Crockett,136,FB,OAK,16,0.4,1,62.5,,0,0,0,9.1,1,1,23,0,60.6,25.3,56.6,69.7,49.1,1.1,2,0,14,48.0,85,177,2,10,50.3,89,2.3,4,68.0,16,0,0.0,0,53,52,5.2,5.3,0.6
Marcus Pollard,151,TE,DET,13,3.9,0,75.0,,0,0,1,7.7,1,6,11,0,46.0,71.9,66.6,81.0,49.6,75.2,97,0,22,17.8,23,129,1,12,73.6,95,11.6,15,90.6,16,0,3.1,4,100,58,4.8,8.3,1.05
Corey Dillon,249,HB,NE,16,-1.9,1,93.8,,0,0,0,0.0,0,5,19,0,81.1,66.6,50.2,83.6,67.5,0.0,0,1,52,21.6,27,125,1,15,76.0,95,0.0,0,78.9,16,0,7.2,9,147,177,11.8,9.8,1.55
Carlyle Holiday,2640,WR,GB,7,12.8,0,56.3,,0,0,0,0.0,0,6,12,0,78.0,71.6,63.8,,63.7,0.0,0,0,35,0.0,0,111,1,9,93.7,104,7.2,8,81.8,16,0,92.8,103,126,36,4.0,14.0,1.21
Dave Thomas,3031,TE,NE,13,6.4,3,73.3,,0,0,0,0.0,0,5,19,0,78.7,71.5,78.5,51.2,72.1,52.8,66,0,36,16.0,20,125,3,11,79.2,99,38.4,48,129.6,15,1,6.4,8,159,91,8.3,14.5,1.61
Ron Dayne,589,HB,HST,11,-0.4,1,93.3,,0,0,0,0.0,0,3,13,0,80.6,74.7,59.5,88.2,59.9,0.0,0,0,13,31.3,50,160,0,14,65.0,104,0.0,0,88.1,15,0,4.4,7,77,83,5.9,5.5,0.74
Shaun Alexander,597,HB,SEA,10,-0.2,2,80.0,,0,0,0,14.3,2,2,29,1,46.0,37.9,50.9,76.5,34.4,0.0,0,0,14,15.4,37,241,1,12,80.9,195,0.8,2,80.0,15,0,7.9,19,48,56,4.7,4.0,0.25
Joshua Cribbs,2544,WR,CLV,14,7.3,1,66.7,,0,0,1,23.1,3,4,8,1,29.5,21.5,47.0,46.5,48.8,0.0,0,0,14,0.0,0,140,1,10,96.4,135,16.4,23,82.9,15,0,83.6,117,91,47,4.7,9.1,0.67
Stephen Davis,192,HB,SL,15,2.0,1,80.0,,0,0,0,7.7,1,5,26,0,61.8,43.0,58.5,71.4,63.3,0.0,0,0,18,24.1,20,83,0,12,71.1,59,1.2,1,113.9,15,1,0.0,0,90,70,5.8,7.5,1.53
