season,player_id,player_name,team,position,green_zone_carries,targets,HVTs,team_green_zone_carries_all_games,total_team_RB_HVTs_all_games,team_green_zone_carries_in_played_games,total_team_RB_HVTs_in_played_games,games_played_season,HVTs_per_game,pct_team_green_zone_carries_all_games,pct_team_green_zone_carries_in_played_games,pct_team_RB_HVTs_all_games,pct_team_RB_HVTs_in_played_games,total_pass_attempts,total_touchdown_passes,avg_cpoe,touchdown_rate,games_over_30_degrees,games_below_30_degrees,avg_fp_over_30_degrees,avg_fp_below_30_degrees,avg_fp_wind_below_20_mph,avg_fp_wind_above_20_mph,diff_fp_temp_30_degrees,diff_fp_wind_20_mph,avg_pass_epa_deep_left,avg_pass_epa_deep_middle,avg_pass_epa_deep_right,avg_pass_epa_short_left,avg_pass_epa_short_middle,avg_pass_epa_short_right,avg_rec_epa_rec_deep_left,avg_rec_epa_rec_deep_middle,avg_rec_epa_rec_deep_right,avg_rec_epa_rec_short_left,avg_rec_epa_rec_short_middle,avg_rec_epa_rec_short_right,pct_targets_rec_deep_left,pct_targets_rec_deep_middle,pct_targets_rec_deep_right,pct_targets_rec_short_left,pct_targets_rec_short_middle,pct_targets_rec_short_right,total_tackled_for_loss,total_rb_carries,pct_carries_tackled_for_loss,down_1_attempts,down_1_completions,down_1_passing_yards,down_1_passing_tds,down_1_interceptions,down_1_sacks_taken,down_1_passing_first_downs,down_1_carries,down_1_rushing_yards,down_1_rushing_tds,down_1_fumbles,down_1_rushing_first_downs,down_1_targets,down_1_receptions,down_1_receiving_yards,down_1_receiving_tds,down_1_receiving_first_downs,down_1_total_first_downs,down_1_team_carries_in_played_games,down_1_team_targets_in_played_games,down_1_team_receptions_in_played_games,down_1_team_rush_fd_in_played_games,down_1_team_rec_fd_in_played_games,down_1_games_played,down_1_team_carries_all_games,down_1_team_targets_all_games,down_1_team_receptions_all_games,down_1_team_rush_fd_all_games,down_1_team_rec_fd_all_games,down_1_pct_team_carries_in_played_games,down_1_pct_team_targets_in_played_games,down_1_pct_team_receptions_in_played_games,down_1_pct_team_rush_fd_in_played_games,down_1_pct_team_rec_fd_in_played_games,down_1_yards_per_pass_attempt,down_1_yards_per_completion,down_1_yards_per_carry,down_1_yards_per_target,down_1_yards_per_reception,down_1_pass_attempts_per_game,down_1_completions_per_game,down_1_passing_yards_per_game,down_1_passing_first_downs_per_game,down_1_carries_per_game,down_1_rushing_yards_per_game,down_1_rushing_first_downs_per_game,down_1_targets_per_game,down_1_receptions_per_game,down_1_receiving_yards_per_game,down_1_receiving_first_downs_per_game,down_3_attempts,down_3_completions,down_3_passing_yards,down_3_passing_tds,down_3_interceptions,down_3_sacks_taken,down_3_passing_first_downs,down_3_carries,down_3_rushing_yards,down_3_rushing_tds,down_3_fumbles,down_3_rushing_first_downs,down_3_targets,down_3_receptions,down_3_receiving_yards,down_3_receiving_tds,down_3_receiving_first_downs,down_3_total_first_downs,down_3_team_carries_in_played_games,down_3_team_targets_in_played_games,down_3_team_receptions_in_played_games,down_3_team_rush_fd_in_played_games,down_3_team_rec_fd_in_played_games,down_3_games_played,down_3_team_carries_all_games,down_3_team_targets_all_games,down_3_team_receptions_all_games,down_3_team_rush_fd_all_games,down_3_team_rec_fd_all_games,down_3_pct_team_carries_in_played_games,down_3_pct_team_targets_in_played_games,down_3_pct_team_receptions_in_played_games,down_3_pct_team_rush_fd_in_played_games,down_3_pct_team_rec_fd_in_played_games,down_3_yards_per_pass_attempt,down_3_yards_per_completion,down_3_yards_per_carry,down_3_yards_per_target,down_3_yards_per_reception,down_3_pass_attempts_per_game,down_3_completions_per_game,down_3_passing_yards_per_game,down_3_passing_first_downs_per_game,down_3_carries_per_game,down_3_rushing_yards_per_game,down_3_rushing_first_downs_per_game,down_3_targets_per_game,down_3_receptions_per_game,down_3_receiving_yards_per_game,down_3_receiving_first_downs_per_game
2017,00-0023500,F.Gore,IND,RB,5,38,43,22,469,22,469,16,2.688,0.227,0.227,0.092,0.092,NA,NA,NA,NA,7,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,261,0.1,0,0,0,0,0,0,0,146,561,0,0,12,14,12,75,0,3,15,238,177,89,25,38,16,238,177,89,25,38,0.613,0.079,0.135,0.48,0.079,0,0,3.842,5.357,6.25,0,0,0,0,9.125,3.842,0.75,0.875,0.75,4.688,0.188,0,0,0,0,0,0,0,22,79,1,0,14,7,6,60,0,3,17,50,111,56,24,39,11,61,167,80,33,54,0.44,0.063,0.107,0.583,0.077,0,0,3.591,8.571,10,0,0,0,0,2,3.591,1.273,0.636,0.545,5.455,0.273
2017,00-0023564,D.Sproles,PHI,RB,0,12,12,34,472,5,85,3,4,0,0,0.025,0.141,NA,NA,NA,NA,3,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,15,0.133,0,0,0,0,0,0,0,8,48,0,0,3,4,4,36,0,2,5,44,53,30,8,15,3,226,249,140,36,68,0.182,0.075,0.133,0.375,0.133,0,0,6,9,9,0,0,0,0,2.667,6,1,1.333,1.333,12,0.667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,12,9,0,8,1,62,168,97,29,67,0,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0
2017,00-0023682,R.Fitzpatrick,TB,QB,2,0,NA,37,428,17,178,6,NA,0.054,0.118,NA,NA,172,7,-1.612,0.041,3,0,0,NA,0,NA,NA,NA,-0.804,0.089,1.015,0.188,0.094,-0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,38,473,3,2,2,22,6,25,0,0,1,0,0,0,0,0,23,73,67,40,5,23,5,236,247,157,22,90,0.082,0,0,0.2,0,7.883,12.447,4.167,0,0,12,7.6,94.6,4.4,1.2,4.167,0.2,0,0,0,0,48,24,217,3,0,3,18,5,30,0,0,2,0,0,0,0,0,20,15,67,35,7,26,6,32,164,88,17,68,0.333,0,0,0.286,0,4.521,9.042,6,0,0,8,4,36.167,3,0.833,6,0.333,0,0,0,0
2017,00-0024226,J.Cutler,MIA,QB,0,0,NA,11,426,11,374,14,NA,0,0,NA,NA,449,19,-0.391,0.042,11,2,0,0,0,NA,0,NA,-0.128,0.681,-0.036,-0.009,-0.174,-0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,111,1157,10,5,1,48,11,6,0,0,1,0,0,0,0,0,49,156,203,126,14,57,13,187,255,161,16,69,0.071,0,0,0.071,0,6.428,10.423,0.545,0,0,13.846,8.538,89,3.692,0.846,0.545,0.077,0,0,0,0,122,63,634,3,4,12,33,2,6,0,0,1,0,0,0,0,0,34,29,147,75,14,44,14,34,168,85,16,48,0.069,0,0,0.071,0,5.197,10.063,3,0,0,8.714,4.5,45.286,2.357,0.143,3,0.071,0,0,0,0
2017,00-0024348,K.Williams,BUF,DL,1,0,NA,36,509,3,34,1,NA,0.028,0.333,NA,NA,NA,NA,NA,NA,1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,18,10,6,2,2,1,235,185,105,29,46,0.056,0,0,0.5,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,00-0024389,D.Walker,TEN,TE,2,111,NA,35,432,35,432,16,NA,0.057,0.057,NA,NA,NA,NA,NA,NA,12,1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,42,28,323,2,16,16,215,198,119,25,58,15,226,213,128,28,61,0,0.212,0.235,0,0.276,0,0,0,7.69,11.536,0,0,0,0,0,NA,0,2.8,1.867,21.533,1.067,0,0,0,0,0,0,0,0,0,0,0,0,34,18,181,0,11,11,33,158,83,16,52,15,35,167,85,17,54,0,0.215,0.217,0,0.212,0,0,0,5.324,10.056,0,0,0,0,0,NA,0,2.267,1.2,12.067,0.733
2017,00-0024535,E.Weems,TEN,WR,0,2,NA,35,432,5,90,3,NA,0,0,NA,NA,NA,NA,NA,NA,2,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,-1.483,0,0.137,0,0,0,0.5,0,0.5,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,18,10,6,2,3,1,226,213,128,28,61,0,0.1,0.167,0,0,0,0,0,5,5,0,0,0,0,0,NA,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,13,6,0,4,1,35,167,85,17,54,0,0.077,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0
2017,00-0025394,A.Peterson,NO,RB,6,16,22,19,488,16,318,10,2.2,0.316,0.375,0.045,0.069,NA,NA,NA,NA,4,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,156,0.147,0,0,0,0,0,0,0,96,334,2,2,5,8,5,54,0,3,8,146,135,87,12,48,10,236,234,130,16,78,0.658,0.059,0.057,0.417,0.062,0,0,3.479,6.75,10.8,0,0,0,0,9.6,3.479,0.5,0.8,0.5,5.4,0.3,0,0,0,0,0,0,0,3,-4,0,0,0,2,1,0,0,0,0,11,54,33,3,25,5,25,208,102,11,71,0.273,0.037,0.03,0,0,0,0,-1.333,0,0,0,0,0,0,0.6,-1.333,0,0.4,0.2,0,0
2017,00-0025396,T.Ginn,NO,WR,2,70,NA,41,574,37,533,15,NA,0.049,0.054,NA,NA,NA,NA,NA,NA,6,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.117,1.563,0.262,0.467,-3.051,0.21,0.1,0.114,0.086,0.314,0.043,0.343,NA,NA,NA,0,0,0,0,0,0,0,9,24,0,0,1,31,27,388,2,13,14,211,177,131,27,59,14,255,201,145,40,65,0.043,0.175,0.206,0.037,0.22,0,0,2.667,12.516,14.37,0,0,0,0,0.643,2.667,0.071,2.214,1.929,27.714,0.929,0,0,0,0,0,0,0,0,0,0,0,0,23,14,183,1,11,11,30,120,75,11,44,12,40,154,99,16,57,0,0.192,0.187,0,0.25,0,0,0,7.957,13.071,0,0,0,0,0,NA,0,1.917,1.167,15.25,0.917
2017,00-0025399,M.Lynch,LV,RB,13,31,44,17,448,16,418,15,2.933,0.765,0.812,0.098,0.105,NA,NA,NA,NA,14,1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,207,0.101,0,0,0,0,0,0,0,108,427,3,1,13,17,9,52,0,2,15,182,201,121,16,54,15,188,226,140,17,63,0.593,0.085,0.074,0.812,0.037,0,0,3.954,3.059,5.778,0,0,0,0,7.2,3.954,0.867,1.133,0.6,3.467,0.133,0,0,0,0,0,0,0,20,139,4,0,13,3,3,43,0,2,15,30,102,58,18,34,10,40,167,93,24,58,0.667,0.029,0.052,0.722,0.059,0,0,6.95,14.333,14.333,0,0,0,0,2,6.95,1.3,0.3,0.3,4.3,0.2
